Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
591250000000,-6.931273946,2.276660691,2.52336814,2.52336814,2.101103752,2.615862089
591875000000,-38.06293895,1.142575153,0.929934064,0.929934064,1.623264992,1.860586951
592500000000,-4.241740366,0.491823142,0.474285187,0.474285187,0.52377202,0.55193882
593125000000,-1.004801079,1.959193566,2.217165735,2.217165735,1.386717089,1.409595698
593750000000,-6.479762938,3.556627113,4.652265205,4.652265205,1.934778271,2.352395656
594375000000,-7.443823525,-2.231822368,-3.681418678,-3.681418678,-1.066699042,-2.94153553
595000000000,14.91688569,-1.855512268,-1.618645442,-1.618645442,-1.692518256,-1.795144938
595625000000,8.691555405,0.524338822,0.459933422,0.459933422,0.495162324,3.217861225
596250000000,1.693051213,-0.547993402,-0.461540489,-0.461540489,-0.774410589,-0.855421527
596875000000,-0.059007339,4.473066239,5.53300535,5.53300535,2.542839654,3.123284627
597500000000,10.39847459,-0.696526808,0.231454045,0.231454045,-4.113670186,-0.181811707
598125000000,-3.607516832,2.501230663,2.88966962,2.88966962,2.091648976,2.171194586
598750000000,-4.301302431,1.155171418,1.070076249,1.070076249,1.323957188,1.414644425
599375000000,-5.335707211,0.556726305,0.342301873,0.342301873,0.941662365,0.985216927
600000000000,-2.272103244,-0.424692156,-0.598935894,-0.598935894,-0.118140472,-0.098473643
600625000000,-4.707224043,-4.608760969,-5.02821053,-5.02821053,-3.622711982,-2.951780557
601250000000,-5.818404627,1.181891557,2.096527855,2.096527855,-1.401284849,-1.67560842
601875000000,-9.872667216,10.96363148,12.85898916,12.85898916,7.43170574,7.723064699
602500000000,-4.401869507,13.26866929,14.5812931,14.5812931,10.16568701,10.45405331
603125000000,-3.186075462,7.287013954,6.401462254,6.401462254,8.365047925,8.449496701
603750000000,-3.750511382,9.763669425,7.539067834,7.539067834,14.65428948,14.83278629
604375000000,0.22325432,-0.07356201,0.177819926,0.177819926,-0.431292469,-0.443545824
605000000000,1.117384321,0.23317532,0.375886115,0.375886115,-0.058527585,-0.062283899
605625000000,-2.249051651,-1.019046059,-1.154546041,-1.154546041,-0.773370404,-0.788014829
606250000000,-5.52919301,-4.456257142,-4.678125296,-4.678125296,-3.955475664,-3.955151011
606875000000,-5.417194291,-4.460865077,-4.60955153,-4.60955153,-4.070378867,-4.064634065
607500000000,-7.822789366,-9.979884115,-9.735343058,-9.735343058,-9.657955439,-9.703228293
608125000000,-8.296748242,4.18423212,3.981621037,3.981621037,4.55277701,4.337290772
608750000000,-11.19680997,-3.344662255,-3.749434782,-3.749434782,-2.15933967,-2.165646901
609375000000,-12.61777441,-6.241462386,-6.503953111,-6.503953111,-5.340351865,-5.443775284
610000000000,-13.47126082,-9.512431478,-9.639870801,-9.639870801,-8.891187364,-8.959355074
610625000000,-4.157754868,-4.236492756,-4.134641434,-4.134641434,-3.966525598,-3.976611813
611250000000,6.62267447,0.161217865,0.028029378,0.028029378,0.584203313,0.600492316
611875000000,3.56604211,1.716214546,1.742450094,1.742450094,1.590987634,1.634431867
